Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
ipscan,net.azib.ipscan.gui,AbstractModalDialog,45.0,24.0,5.0,3.0,0.8409090909090909,0.16666666666666666
ipscan,net.azib.ipscan.gui,UpButtonListener,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui,DownButtonListener,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui,ResultTable,52.0,13.0,4.0,4.0,0.8205128205128205,0.2857142857142857
ipscan,net.azib.ipscan.gui,SetDataListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,GettingStartedDialog,6.0,2.0,2.0,2.0,0.7916666666666667,0.4
ipscan,net.azib.ipscan.gui,AboutDialog,6.0,0.0,4.0,3.0,0.0,0.75
ipscan,net.azib.ipscan.gui,EditFavoritesDialog,1.0,0.0,1.0,1.0,0.25,0.0
ipscan,net.azib.ipscan.gui,DeleteListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,RenameListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,StatusBar,40.0,25.0,1.0,1.0,0.8727272727272727,0.0
ipscan,net.azib.ipscan.gui,DisplayModeChangeListener,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui,MainMenu,4.0,0.0,2.0,1.0,0.25,0.0
ipscan,net.azib.ipscan.gui,MenuEnablerDisabler,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui,InfoDialog,6.0,2.0,2.0,2.0,0.6666666666666666,0.4
ipscan,net.azib.ipscan.gui,EditOpenersDialog,16.0,0.0,1.0,1.0,0.6363636363636364,0.0
ipscan,net.azib.ipscan.gui,HintButtonListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,DeleteButtonListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,AddButtonListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,ItemSelectListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,OpenerNameChange,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,DetailsWindow,13.0,5.0,3.0,3.0,0.7142857142857143,0.42857142857142855
ipscan,net.azib.ipscan.gui,CommentsTextListener,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui,TraverseListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,MacApplicationMenu,12.0,3.0,2.0,1.0,0.6666666666666666,0.0
ipscan,net.azib.ipscan.gui,PreferencesDialog,107.0,78.0,9.0,5.0,0.8828125,0.29411764705882354
ipscan,net.azib.ipscan.gui,PortsTextValidationListener,3.0,0.0,3.0,2.0,0.0,0.6666666666666666
ipscan,net.azib.ipscan.gui,InputDialog,10.0,0.0,2.0,2.0,0.6571428571428571,0.25
ipscan,net.azib.ipscan.gui,Startup,0.0,0.0,1.0,1.0,0.33333333333333326,0.0
ipscan,net.azib.ipscan.gui,MainWindow,23.0,0.0,2.0,1.0,0.7222222222222222,0.0
ipscan,net.azib.ipscan.gui,IPFeederSelectionListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,EnablerDisabler,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,SWTAwareStateMachine,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui,StatisticsDialog,3.0,0.0,2.0,1.0,0.3333333333333333,0.0
ipscan,net.azib.ipscan.gui,SelectFetchersDialog,12.0,3.0,2.0,2.0,0.8095238095238096,0.2857142857142857
ipscan,net.azib.ipscan.gui,ListFocusListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,PrefsListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui,AddRemoveButtonListener,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui,GUI,6.0,2.0,2.0,1.0,0.625,0.0
ipscan,net.azib.ipscan.gui.menu,AbstractMenu,3.0,0.0,3.0,3.0,0.0,1.0
ipscan,net.azib.ipscan.gui.menu,OpenersMenu,1.0,0.0,2.0,2.0,0.0,1.0
ipscan,net.azib.ipscan.gui.menu,FavoritesMenu,1.0,0.0,2.0,2.0,0.0,1.0
ipscan,net.azib.ipscan.gui.menu,OpenersContextMenu,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui.menu,ResultsContextMenu,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui.menu,ExtendableMenu,6.0,0.0,4.0,3.0,0.0,0.75
ipscan,net.azib.ipscan.gui.menu,GotoMenu,1.0,0.0,2.0,2.0,0.0,1.0
ipscan,net.azib.ipscan.gui.menu,HelpMenu,1.0,0.0,2.0,2.0,0.0,1.0
ipscan,net.azib.ipscan.gui.menu,ScanMenu,1.0,0.0,2.0,2.0,0.0,1.0
ipscan,net.azib.ipscan.gui.menu,ToolsMenu,3.0,0.0,3.0,2.0,0.0,0.6666666666666666
ipscan,net.azib.ipscan.gui.menu,CommandsMenu,3.0,0.0,3.0,3.0,0.0,1.0
ipscan,net.azib.ipscan.gui.menu,ColumnsMenu,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui.fetchers,PortsFetcherPrefs,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui.fetchers,PingFetcherPrefs,0.0,0.0,1.0,1.0,-0.0,0.0
ipscan,net.azib.ipscan.gui.fetchers,PortTextFetcherPrefs,7.0,4.0,3.0,1.0,0.6875,0.0
ipscan,net.azib.ipscan.gui.fetchers,MACFetcherPrefs,0.0,0.0,1.0,1.0,0.25,0.0
ipscan,net.azib.ipscan.gui.feeders,FeederGUIRegistry,10.0,0.0,1.0,1.0,0.7000000000000001,0.0
ipscan,net.azib.ipscan.gui.feeders,FeederArea,1.0,0.0,2.0,2.0,0.0,1.0
ipscan,net.azib.ipscan.gui.feeders,FeederSelectionCombo,1.0,0.0,2.0,2.0,0.0,1.0
ipscan,net.azib.ipscan.gui.feeders,AbstractFeederGUI,20.0,19.0,6.0,4.0,0.9666666666666667,0.42857142857142855
ipscan,net.azib.ipscan.gui.feeders,RandomFeederGUI,9.0,3.0,3.0,3.0,0.4,0.3333333333333333
ipscan,net.azib.ipscan.gui.feeders,FileFeederGUI,11.0,1.0,3.0,3.0,0.3333333333333333,0.2857142857142857
ipscan,net.azib.ipscan.gui.feeders,RangeFeederGUI,51.0,11.0,4.0,3.0,0.7307692307692307,0.14285714285714285
ipscan,net.azib.ipscan.gui.feeders,EndIPModifyListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui.feeders,NetmaskResetListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui.feeders,StartIPModifyListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui.feeders,NetmaskListener,0.0,0.0,1.0,1.0,0.0,0.0
ipscan,net.azib.ipscan.gui.feeders,ControlsArea,1.0,0.0,2.0,2.0,0.0,1.0
